accession	domain	phylum	class	order	family	genus	species	ambiguous_bases	checkm2_completeness	checkm2_contamination	checkm2_model	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	gtdb_type_designation_ncbi_taxa	gtdb_type_designation_ncbi_taxa_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count
GB_GCA_030638685.1	Archaea	Asgardarchaeota	Heimdallarchaeia	Heimdallarchaeales	DAOWED01	DAOWED01	DAOWED01 sp030638685	0	85.56	1.82	General	78.5	4.05	149	k__Archaea (UID2)	107	16.67	2072948	88.915864094719	237	807219	34.62439718636212	2331359	GB_GCA_030638685.1	t	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__DAOWED01;g__DAOWED01;s__DAOWED01 sp030638685	not type material	none	f	65	65	49070	49070	21904	1	2585	DAOWED010000025.1	none	0	none	none	2094	446	8.2e-123	71.585	MEHH01000225.593.3133	Archaea;Asgardarchaeota;Incertae Sedis;Incertae Sedis;Incertae Sedis;Incertae Sedis;Candidatus Heimdallarchaeota archaeon AB_125	9836	9836	f	f	t	11998	11998	Contig	ASM3063868v1	na	PRJNA950938	SAMN34049943	237	11998	none	2023-08-03	GCA_030638685.1	derived from metagenome	full	CSMAG_1930	cold seep	none	0	none	Candidatus Heimdallarchaeota archaeon	none	na	none	none	none	none	none	none	2023-08-03	0	2026747	none	CSMAG_1930	Third Institute of Oceanography, Ministry of Natural Resources	2026747	d__Archaea;p__Candidatus Heimdallarchaeota;c__;o__;f__;g__;s__	d__Archaea;x__Promethearchaeati;p__Candidatus Heimdallarchaeota;x__unclassified Candidatus Heimdallarchaeota;s__Candidatus Heimdallarchaeota archaeon	0	2331359	none	none	na	2331359	0	DAOWED000000000.1	2270	237	24229	1	none	none	none	none	none	none	1467	DAOWED010000056.1	1344	2351	0	98.214	FN820420.1.1346	Archaea;Asgardarchaeota;Heimdallarchaeia;Incertae Sedis;Incertae Sedis;AB_125;uncultured archaeon	0	15	36	0
GB_GCA_048885785.1	Archaea	Asgardarchaeota	Lokiarchaeia	Sigyniarchaeales	SOKP01	SOKP01	SOKP01 sp048940645	0	78.24	3.42	General	72.27	3.27	149	k__Archaea (UID2)	107	0.0	3346183	88.22968099305433	158	1126441	29.71056464371039	3792582	GB_GCA_048940645.1	f	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigyniarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp048940645	not type material	none	f	29	29	148839	148839	none	0	none	none	none	0	none	none	none	none	none	none	none	none	23996	25976	f	f	t	37067	37837	Scaffold	ASM4888578v1	na	PRJNA1162170	SAMN43852811	158	37067	none	2025-03-24	GCA_048885785.1	derived from metagenome	full	DZ1M.426	none	none	0	0	Candidatus Hermodarchaeota archaeon	none	na	1	146	29	37837	23512	13101	2025-03-24	12	2799008	0	DZ1M.426	East china normal University	2799008	d__Archaea;p__Candidatus Hermodarchaeota;c__;o__;f__;g__;s__	d__Archaea;x__Promethearchaeati;p__Candidatus Hermodarchaeota;x__unclassified Candidatus Hermodarchaeota;s__Candidatus Hermodarchaeota archaeon	1200	3792582	11	43	na	3791382	0	JBHLLH000000000.1	3652	146	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	1200	19	43	1
GB_GCA_030626525.1	Archaea	Asgardarchaeota	Heimdallarchaeia	Heimdallarchaeales	Heimdallarchaeaceae	18H4-34	18H4-34 sp023705985	0	82.14	5.17	General	84.58	4.67	149	k__Archaea (UID2)	107	25.0	2355966	88.4974892794788	336	870357	32.693345012966795	2662184	GB_GCA_023705985.1	f	d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia;o__Heimdallarchaeales;f__Heimdallarchaeaceae;g__18H4-34;s__18H4-34 sp023705985	not type material	none	f	81	81	41112	41112	none	0	none	none	none	0	none	none	none	none	none	none	none	none	7923	7923	f	f	t	9713	9713	Contig	ASM3062652v1	na	PRJNA950938	SAMN34042646	336	9713	none	2023-08-03	GCA_030626525.1	derived from metagenome	full	CSMAG_83	cold seep	none	0	none	Candidatus Heimdallarchaeota archaeon	none	na	none	none	none	none	none	none	2023-08-03	0	2026747	none	CSMAG_83	Third Institute of Oceanography, Ministry of Natural Resources	2026747	d__Archaea;p__Candidatus Heimdallarchaeota;c__;o__;f__;g__;s__	d__Archaea;x__Promethearchaeati;p__Candidatus Heimdallarchaeota;x__unclassified Candidatus Heimdallarchaeota;s__Candidatus Heimdallarchaeota archaeon	0	2662184	none	none	na	2662184	0	DAOUOV000000000.1	2795	336	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	19	41	0
GB_GCA_029856045.1	Archaea	Asgardarchaeota	Lokiarchaeia	Sigyniarchaeales	SOKP01	6H3-1	6H3-1 sp029856045	0	100.0	3.53	General	92.99	5.14	149	k__Archaea (UID2)	107	14.29	2942761	88.03826849395065	55	983686	29.428829654103865	3342593	GB_GCA_029856045.1	t	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigyniarchaeales;f__SOKP01;g__6H3-1;s__6H3-1 sp029856045	not type material	none	f	6	6	564327	564327	564327	1	3132	JAHQWG010000016.1	none	0	none	none	2761	2405	0	82.796	JYIM01000373.485.3826	Archaea;Asgardarchaeota;Incertae Sedis;Incertae Sedis;Incertae Sedis;Incertae Sedis;Lokiarchaeum sp. GC14_75	60774	60774	f	f	t	141884	141884	Contig	ASM2985604v1	na	PRJNA417281	SAMN08011037	55	141884	Denmark: Aarhus Bay Station M5	2023-04-24	GCA_029856045.1	derived from metagenome	full	ABR01	marine sediment	56.1033 N 10.4578 E	0	none	Promethearchaeia archaeon	none	na	none	none	none	none	none	none	2023-04-24	0	3067280	none	ABR01	Uppsala University	3067280	d__Archaea;p__Promethearchaeota;c__Promethearchaeia;o__;f__;g__;s__	d__Archaea;x__Promethearchaeati;p__Promethearchaeota;c__Promethearchaeia;x__unclassified Promethearchaeia;s__Promethearchaeia archaeon	0	3342593	none	none	na	3342593	0	JAHQWG000000000.1	3115	55	564327	1	none	none	none	none	none	none	1495	JAHQWG010000016.1	1427	2540	0	98.809	JQ817593.1.1427	Archaea;Asgardarchaeota;Lokiarchaeia;Incertae Sedis;Incertae Sedis;Incertae Sedis;uncultured archaeon	0	17	42	1
GB_GCA_019058035.1	Archaea	Asgardarchaeota	Lokiarchaeia	Sigyniarchaeales	SOKP01	6H3-1	6H3-1 sp019058015	0	94.87	4.38	General	88.47	5.37	149	k__Archaea (UID2)	107	20.0	3345143	85.61354647849042	377	1140941	29.200546981912385	3907259	GB_GCA_019058015.1	f	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigyniarchaeales;f__SOKP01;g__6H3-1;s__6H3-1 sp019058015	not type material	none	f	66	66	76851	76851	14692	2	2201	JAHLWF010000363.1	none	0	none	none	1848	1567	0	82.359	JYIM01000373.485.3826	Archaea;Asgardarchaeota;Incertae Sedis;Incertae Sedis;Incertae Sedis;Incertae Sedis;Lokiarchaeum sp. GC14_75	10364	10364	f	f	t	16065	16065	Contig	ASM1905803v1	na	PRJNA678552	SAMN19663739	377	16065	New Zealand: Hikurangi Subduction Margin	2021-06-29	GCA_019058035.1	derived from metagenome	full	3H5_17	sediment collected in IODP Expedition 375 from site U1519E; depth 20.83 mbsf	38.72 S 178.61 E	0	none	Promethearchaeota archaeon	none	na	none	none	none	none	none	none	2021-06-29	0	2053489	none	3H5_17	The University of Queensland	2053489	d__Archaea;p__Promethearchaeota;c__;o__;f__;g__;s__	d__Archaea;x__Promethearchaeati;p__Promethearchaeota;x__unclassified Promethearchaeota;s__Promethearchaeota archaeon	0	3907259	none	none	na	3907259	0	JAHLWF000000000.1	4080	377	22551	1	none	none	none	none	none	none	514	JAHLWF010000282.1	463	839	0	99.352	AB800619.1.1423	Archaea;Asgardarchaeota;Lokiarchaeia;Incertae Sedis;Incertae Sedis;Incertae Sedis;uncultured archaeon	0	17	41	1
GB_GCA_038887685.1	Archaea	Asgardarchaeota	Njordarchaeia	Njordarchaeales	Panguiarchaeaceae	Panguiarchaeum	Panguiarchaeum symbiosum	0	80.56	1.61	General	83.81	0.93	149	k__Archaea (UID2)	107	0.0	1188140	89.19025838856398	46	537695	40.36352280669093	1332141	GB_GCA_024720975.1	f	d__Archaea;p__Asgardarchaeota;c__Njordarchaeia;o__Njordarchaeales;f__Panguiarchaeaceae;g__Panguiarchaeum;s__Panguiarchaeum symbiosum	not type material	none	f	6	6	200462	200462	200462	1	2979	JAWAKB010000001.1	none	0	none	none	2950	1094	0	74.136	CP000504.1594574.1597615	Archaea;Thermoproteota;Thermoproteia;Thermoproteales;Thermoproteaceae;Pyrobaculum;Pyrobaculum islandicum DSM 4184	28959	29603	f	f	t	50799	50799	Scaffold	ASM3888768v1	na	PRJNA544494	SAMN36038125	46	50799	none	2024-04-30	GCA_038887685.1	derived from metagenome	full	SRBZ-1_201901_bins_47	none	none	0	0	Thermoproteota archaeon	none	na	2	45	6	50799	26514	10825	2024-04-30	1	2056631	1	SRBZ-1_201901_bins_47	The University of Texas at Austin	2056631	d__Archaea;p__Thermoproteota;c__;o__;f__;g__;s__	d__Archaea;x__Thermoproteati;p__Thermoproteota;x__unclassified Thermoproteota;s__Thermoproteota archaeon	10	1332141	11	48	na	1332131	0	JAWAKB000000000.1	1272	45	200462	1	none	none	none	none	none	none	1515	JAWAKB010000001.1	1399	992	0	79.914	DQ228522.1.1438	Archaea;Incertae Sedis;Incertae Sedis;Incertae Sedis;Incertae Sedis;Incertae Sedis;uncultured archaeon	10	19	48	0
GB_GCA_018238625.1	Archaea	Asgardarchaeota	Lokiarchaeia	Sigyniarchaeales	SOKP01	SOKP01	SOKP01 sp018238625	0	97.94	7.59	General	89.72	3.27	149	k__Archaea (UID2)	107	0.0	3775640	88.00529200916871	201	1375829	32.068797051541615	4290242	GB_GCA_018238625.1	t	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigyniarchaeales;f__SOKP01;g__SOKP01;s__SOKP01 sp018238625	not type material	none	f	41	41	109278	109278	none	0	none	none	none	0	none	none	none	none	none	none	none	none	21344	21344	f	f	t	34231	34231	Contig	ASM1823862v1	na	PRJNA628571	SAMN14734418	201	34231	China: Haima cold seep	2021-05-03	GCA_018238625.1	derived from metagenome	full	HM4_B22	cold seep	none	0	none	Promethearchaeota archaeon	none	na	none	none	none	none	none	none	2021-05-03	0	2053489	none	HM4_B22	Institute of Deep-sea Science and Engineering, Chinese Academy of Sciences	2053489	d__Archaea;p__Promethearchaeota;c__;o__;f__;g__;s__	d__Archaea;x__Promethearchaeati;p__Promethearchaeota;x__unclassified Promethearchaeota;s__Promethearchaeota archaeon	0	4290242	none	none	na	4290242	0	JABCSY000000000.1	4163	201	57139	1	none	none	none	none	none	none	1490	JABCSY010000012.1	1456	2639	0	99.382	HQ700683.1.1459	Archaea;Asgardarchaeota;Lokiarchaeia;Incertae Sedis;Incertae Sedis;Incertae Sedis;uncultured crenarchaeote	0	15	42	0
GB_GCA_048883405.1	Archaea	Asgardarchaeota	Thorarchaeia	Thorarchaeales	Thorarchaeaceae	SMTZ1-83	SMTZ1-83 sp048883405	0	81.4	2.17	General	78.15	3.74	149	k__Archaea (UID2)	107	0.0	2887582	90.6760931536548	328	1485061	46.654521281441816	3184502	GB_GCA_048883405.1	t	d__Archaea;p__Asgardarchaeota;c__Thorarchaeia;o__Thorarchaeales;f__Thorarchaeaceae;g__SMTZ1-83;s__SMTZ1-83 sp048883405	not type material	none	f	64	63	88419	88419	none	0	none	none	none	0	none	none	none	none	none	none	none	none	9704	10141	f	f	t	14944	14975	Scaffold	ASM4888340v1	na	PRJNA1162170	SAMN43852952	328	14944	none	2025-03-24	GCA_048883405.1	derived from metagenome	full	QM1B.10	none	none	0	0	Candidatus Thorarchaeota archaeon	none	na	1	314	63	14975	7437	4455	2025-03-24	14	2053491	0	QM1B.10	East china normal University	2053491	d__Archaea;p__Candidatus Thorarchaeota;c__;o__;f__;g__;s__	d__Archaea;x__Promethearchaeati;p__Candidatus Thorarchaeota;x__unclassified Candidatus Thorarchaeota;s__Candidatus Thorarchaeota archaeon	1400	3184502	11	34	na	3183102	0	JBHLQS000000000.1	3209	314	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	1400	17	35	1
GB_GCA_005191425.1	Archaea	Asgardarchaeota	Lokiarchaeia	Helarchaeales	HEL-GB-B	HEL-GB-B	HEL-GB-B sp005191425	0	93.69	4.93	General	86.92	1.4	149	k__Archaea (UID2)	107	0.0	2954315	83.38274894957124	182	993496	28.04048571340674	3543077	GB_GCA_005191425.1	t	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Helarchaeales;f__HEL-GB-B;g__HEL-GB-B;s__HEL-GB-B sp005191425	not type material	none	f	40	40	72379	72379	none	0	none	none	none	0	none	none	none	none	none	none	none	none	19467	19467	f	f	t	28908	28908	Contig	ASM519142v1	na	PRJNA362212	SAMN09406172	182	28908	Mexico: Guaymas Basin; Gulf of California	2019-05-06	GCA_005191425.1	derived from metagenome	full	Hel_GB_B	deep-sea hydrothermal vent sediments from dive 4571_4 depth 0-3 cm	29.52416667 N 113.57000000 W	0	none	Candidatus Helarchaeota ASGARD archaeon Hel_GB_B	none	na	none	none	none	none	none	none	2019-05-06	0	2218537	none	Hel_GB_B	The University of Texas at Austin	2218537	d__Archaea;p__Candidatus Helarchaeota;c__;o__;f__;g__;s__	d__Archaea;x__Promethearchaeati;p__Candidatus Helarchaeota;s__Candidatus Helarchaeota ASGARD archaeon Hel_GB_B	0	3543077	none	none	na	3543077	0	SUPR00000000.1	3286	182	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	15	34	0
GB_GCA_048940925.1	Archaea	Asgardarchaeota	Lokiarchaeia	Sigyniarchaeales	SOKP01	Loki-b32	Loki-b32 sp048940925	0	100.0	8.42	General	86.14	4.21	149	k__Archaea (UID2)	107	0.0	4140615	85.94874147386426	127	1427855	29.66090076091676	4817540	GB_GCA_048940925.1	t	d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__Sigyniarchaeales;f__SOKP01;g__Loki-b32;s__Loki-b32 sp048940925	not type material	none	f	20	19	265157	265157	41701	1	1599	JBHLOC010000042.1	none	0	none	none	1600	2355	0	93.25	JYIM01000373.485.3826	Archaea;Asgardarchaeota;Incertae Sedis;Incertae Sedis;Incertae Sedis;Incertae Sedis;Lokiarchaeum sp. GC14_75	37904	53528	f	f	t	78086	85976	Scaffold	ASM4894092v1	na	PRJNA1162170	SAMN43852884	127	78086	none	2025-03-25	GCA_048940925.1	derived from metagenome	full	DZ3M.111	none	none	0	0	Promethearchaeota archaeon	none	na	4	90	19	85976	47091	26424	2025-03-25	37	2053489	2	DZ3M.111	East china normal University	2053489	d__Archaea;p__Promethearchaeota;c__;o__;f__;g__;s__	d__Archaea;x__Promethearchaeati;p__Promethearchaeota;x__unclassified Promethearchaeota;s__Promethearchaeota archaeon	3610	4817540	11	42	na	4813930	0	JBHLOC000000000.1	4473	90	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	3610	17	43	1
